name,xshift,yshift,rot,scale,rmsxpix,rmsypix,xsc,ysc,exptime,rmsx,rmsy,rms,detector
idb602ryq_flc.fits,12.494492,-2.681562,0.011476,0.9999979999999999,0.054038,0.091244,40.80746122929141,38.346785060560904,350.0,2.2051535899084493,3.498914056065819,4.135831467410282,uvis
idb602s1q_flc.fits,12.238180999999999,-2.148091,0.009108,1.0000120000000001,0.051779,0.075786,40.81413368165629,38.34914747526265,700.0,2.113315027902481,2.9063284905602553,3.5934448238703647,uvis
idb602s5q_flc.fits,12.225074000000001,-2.608263,0.011504,0.999999,0.053075,0.086264,40.807354788064615,38.34619703134146,540.0,2.1658503553765294,3.3078963407116397,3.953869745297396,uvis
idb603y7q_flc.fits,-1.667269,-5.339988,0.010397,1.0000040000000001,0.048177,0.091977,40.814778550510596,38.35106116292141,550.0,1.966333586227949,3.5274155525820228,4.038456171970374,uvis
idb603yaq_flc.fits,-1.372472,-5.88553,0.012804,1.000006,0.087699,0.126828,40.80711617254692,38.34730791577475,350.0,3.5787432812161923,4.86351236834188,6.038307381200834,uvis
idb603ydq_flc.fits,-1.674825,-5.370541,0.010413,1.000011,0.056941,0.095973,40.81430396856342,38.35008396658216,700.0,2.32400728227397,3.68057260852479,4.3528869241786445,uvis
idb603yhq_flc.fits,-1.5573629999999998,-5.89623,0.012861000000000001,1.000006,0.08329099999999999,0.113575,40.806574003188075,38.346583616987495,540.0,3.3988203552995375,4.355213234299354,5.5244784481265485,uvis
idb604skq_flc.fits,-3.282744,-6.837018,0.006894,1.0000200000000001,0.08723,0.09563300000000001,38.35753439930802,40.8230028479547,550.0,3.345927725651639,3.904026231358452,5.14165860014249,uvis
idb604snq_flc.fits,-3.09195,-7.374371000000001,0.009929,1.000003,0.09575700000000001,0.156431,38.35463431648061,40.816676381259896,350.0,3.6727247182432343,6.384993502996866,7.3659384255712474,uvis
idb604sqq_flc.fits,-3.233034,-6.851307,0.0072239999999999995,1.0000149999999999,0.08278300000000001,0.092669,38.356977253601194,40.82288517358204,700.0,3.175305647984868,3.783015946150674,4.939005528135688,uvis
idb604suq_flc.fits,-2.854893,-7.475886,0.00957,1.000011,0.085594,0.115602,38.3539486071674,40.81511634101984,540.0,3.2828678770818867,4.718309079254575,5.74801374961406,uvis
idb605a4q_flc.fits,-1.228833,-7.0805929999999995,0.007963,1.000014,0.071181,0.08887,38.35776395555748,40.82272209224101,550.0,2.7303439961205367,3.627915312337459,4.540544884773639,uvis
idb605a7q_flc.fits,-0.885691,-7.6974350000000005,0.009834,0.9999870000000001,0.13108399999999998,0.304906,38.354706245218985,40.81630105815582,350.0,5.027688313448285,12.44513509043806,13.422333522768579,uvis
idb605aaq_flc.fits,-0.9794930000000001,-7.229384,0.008324,1.000016,0.070406,0.10003200000000001,38.35619427160676,40.82201706397196,700.0,2.7005062138867455,4.083508010943244,4.895689071691397,uvis
idb605ajq_flc.fits,-0.948011,-7.660444,0.011616,1.000019,0.182884,0.23158299999999998,38.35346067500224,40.8140952457648,540.0,7.014234302087109,9.451850619299949,11.77017259746586,uvis
idb606wgq_flc.fits,-2.115295,-7.114821000000001,0.005956,1.000026,0.069127,0.09788200000000001,38.35711135394644,40.82333172810809,550.0,2.6515120365642555,3.9958693562106764,4.795569621217969,uvis
idb606wjq_flc.fits,-1.883951,-7.655504,0.008194,1.0000069999999999,0.064864,0.08647200000000001,38.35466062580274,40.81607367675161,350.0,2.487836706832069,3.5294475229760653,4.318139795942567,uvis
idb606wmq_flc.fits,-2.048942,-7.1551100000000005,0.0058969999999999995,1.0000200000000001,0.053511,0.094097,38.3564736910205,40.82243789780233,700.0,2.052493263680198,3.841268938869506,4.355235430855173,uvis
idb606wqq_flc.fits,-1.6424720000000002,-7.7793529999999995,0.00827,1.0000120000000001,0.053101999999999996,0.084274,38.35333871980078,40.81453804039883,540.0,2.036638992698861,3.439604378816571,3.997346203339856,uvis
idb607z4q_flc.fits,-1.275634,0.8391709999999999,0.008607,1.000014,0.06465599999999999,0.084915,40.81469484110022,38.35035402440275,550.0,2.6389149096461755,3.2565203119821593,4.1915148148020736,uvis
idb607z7q_flc.fits,-1.033248,0.342086,0.010698000000000001,1.000001,0.070849,0.098054,40.80725663695573,38.34741307442628,350.0,2.8911533254716764,3.7601172415997945,4.743126523925119,uvis
idb607zaq_flc.fits,-1.331385,0.8023,0.008905,1.0000149999999999,0.077941,0.085613,40.81382013607757,38.34946487475521,700.0,3.1810699552260213,3.283212736322418,4.571508715073332,uvis
idb607zeq_flc.fits,-1.281018,0.329396,0.010753,1.000001,0.068159,0.085996,40.80732519558859,38.34700117885913,540.0,2.7813864780061226,3.2976887133771697,4.314030782269695,uvis
idb608a2q_flc.fits,-3.118334,-3.523925,0.008537999999999999,1.0000129999999998,0.074995,0.064199,40.81477829157194,38.35004999493469,550.0,3.060904297976438,2.4620348596248127,3.9281994312125246,uvis
idb608a5q_flc.fits,-2.872429,-4.003614,0.011056999999999999,1.000014,0.10288399999999999,0.12003,40.80613776167982,38.34621879064122,350.0,4.198298677472667,4.602696641440665,6.229809640622891,uvis
idb608a8q_flc.fits,-3.2349799999999997,-3.422485,0.008864,1.0000209999999998,0.068235,0.080871,40.8137959310104,38.34943083094889,700.0,2.7849293653524945,3.101356820729668,4.16824251927465,uvis
idb608acq_flc.fits,-3.098256,-3.9937150000000003,0.010738,1.000002,0.081176,0.08854400000000001,40.807400116403635,38.34680856230317,540.0,3.3125815118491815,3.3953798173405723,4.743606262818269,uvis
idb609azq_flc.fits,1.945671,-7.038908,0.006862999999999999,1.000009,0.077128,0.07751,40.81434347840539,38.35020866195803,550.0,3.147928683802451,2.972524673388367,4.329590965923784,uvis
idb609b2q_flc.fits,2.169633,-7.560194999999999,0.009023999999999999,1.000001,0.09639199999999999,0.105755,40.80597550193317,38.34685365668328,350.0,3.9333695905823416,4.055371508462541,5.649551699716327,uvis
idb609b5q_flc.fits,1.7782580000000001,-7.0167660000000005,0.007014,1.00001,0.093396,0.09448,40.81376839230897,38.34958836648452,700.0,3.811842712768089,3.623269108865457,5.259108660423539,uvis
idb609b9q_flc.fits,1.8223049999999998,-7.456933,0.008804000000000001,0.9999979999999999,0.09091,0.08757999999999999,40.80695386046256,38.34672475665887,540.0,3.709760175454652,3.3584061541881836,5.004119548519839,uvis
idb610ziq_flc.fits,-3.3074019999999997,-6.084027,0.007826000000000001,1.000017,0.059442999999999996,0.070408,38.35770172003232,40.822862640045194,550.0,2.2800968633438807,2.874256112760302,3.6688131470504963,uvis
idb610zlq_flc.fits,-3.0523279999999997,-6.625382000000001,0.00984,1.00001,0.086923,0.10473699999999998,38.354025317276964,40.81499236360449,350.0,3.3338469426536657,4.274839855186842,5.42114298137718,uvis
idb610zoq_flc.fits,-3.158318,-6.166549,0.007729000000000001,1.000019,0.073534,0.089933,38.35634213580076,40.82177504846332,700.0,2.820495262613973,3.6712246954334518,4.629587918032047,uvis
idb610zsq_flc.fits,-2.7417439999999997,-6.764496,0.009754,1.000001,0.073108,0.096833,38.35303157857391,40.81451811003323,540.0,2.803913432646382,3.9521922321488474,4.845797558465738,uvis
idb611kbq_flc.fits,-1.0569819999999999,-6.748499000000001,0.007929,1.000024,0.079701,0.078766,38.35716017520965,40.82237374836677,550.0,3.057104023124384,3.2154150906638574,4.436753228823095,uvis
idb611keq_flc.fits,-0.611476,-7.382369000000001,0.010457,1.0000149999999999,0.079511,0.077066,38.35277431216437,40.81392994289673,350.0,3.049467438334501,3.145366324979279,4.380933801802538,uvis
idb611khq_flc.fits,-1.006003,-6.784599000000001,0.007944,1.0000040000000001,0.07962999999999999,0.077986,38.358596857386964,40.82223430869372,700.0,3.0544950677537237,3.183562764797789,4.411917043229481,uvis
idb611klq_flc.fits,-0.8220069999999999,-7.309008,0.010386,0.9999979999999999,0.061096000000000004,0.082315,38.35467179207631,40.81606710576074,540.0,2.3433170278086943,3.3597745638106953,4.096244598708373,uvis
idb612lqq_flc.fits,-2.064635,-7.326061,0.007956,1.0000200000000001,0.055567,0.088578,38.357697537365254,40.822620952251455,550.0,2.131422179058775,3.6159861187085296,4.197417791461368,uvis
idb612ltq_flc.fits,-1.815653,-7.892175999999999,0.010881,1.000008,0.071381,0.126652,38.35373372138735,40.81586807713931,350.0,2.7377278667663503,5.169411323705847,5.84961257743855,uvis
idb612lwq_flc.fits,-2.007736,-7.421862,0.007294,1.000022,0.059362,0.09854500000000001,38.35692379714876,40.8220950123772,700.0,2.2769437104463446,4.022813352994711,4.622499316773743,uvis
idb612m0q_flc.fits,-1.619588,-8.005061999999999,0.009231999999999999,1.000009,0.08150299999999999,0.07896399999999999,38.35291602396444,40.81449293202049,540.0,3.1258777147011734,3.222875619884066,4.489770456104469,uvis
idb613lxq_flc.fits,16.078364,-0.452036,0.007488,1.000022,0.060787,0.078914,40.81401988146424,38.35030394812708,550.0,2.4809618265345668,3.0263758857625,3.9133262816492174,uvis
