#Gc logAge  M_H  m_ini    mu0   Av    mratio  Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F275W1mag  F336W1mag  F475Wmag  F814Wmag  F110Wmag  F160Wmag  F098Mmag  F127Mmag  F139Mmag  F153Mmag  TiOmag  CNmag   Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag
 1   9.250  0.49  0.26139 10.650  0.224 1.00   0.260 -2.291  3.4608  4.940    1  0.000  0.545     0.00     0.00 -1 -4.27e-16      0.00 6.356e-01 3.235e-01 7.355e-03 1.984e-03 1.800e-02 -1.000 4.090e-02 20.400 31.093 27.582 24.540 20.211 18.754 18.122 19.226 18.312 18.447 18.150 20.764 19.872 18.437 17.905 17.618 17.210 17.135 17.106 17.060 16.491 
 1   9.290 -0.04  0.15309  9.800  0.213 0.00   0.153 -2.687  3.4567  5.088    0  0.000  0.545     0.00     0.00 -1 -1.89e-16      0.00 7.134e-01 2.730e-01 2.438e-03 6.578e-04 5.966e-03 -1.000 1.356e-02 21.288 32.057 28.990 25.569 21.100 19.643 18.988 20.127 19.196 19.326 19.014 21.670 20.756 19.323 18.771 18.498 18.078 18.013 17.984 17.931 17.436 
 1   9.290  0.07  0.09952 10.700  0.218 0.00   0.099 -3.260  3.3826  5.178    0  0.000  0.545     0.00     0.00 -1 -5.65e-17      0.00 7.038e-01 2.792e-01 3.054e-03 8.239e-04 7.472e-03 -1.000 1.698e-02 23.620 34.781 33.043 28.932 23.733 21.919 21.271 22.492 21.391 21.753 21.312 24.671 23.236 21.547 20.991 20.699 20.211 20.173 20.155 20.067 19.468 
 1   9.290  0.17  0.11470  8.800  0.189 0.00   0.114 -3.087  3.3985  5.129    0  0.000  0.545     0.00     0.00 -1  -8.3e-17      0.00 6.910e-01 2.873e-01 3.892e-03 1.050e-03 9.523e-03 -1.000 2.165e-02 21.287 32.420 30.575 26.562 21.392 19.582 18.940 20.149 19.054 19.420 18.982 22.322 20.897 19.210 18.660 18.365 17.879 17.838 17.819 17.734 17.133 
 1   9.290  0.17  0.19600 10.550  0.198 0.00   0.195 -2.499  3.4600  5.019    1  0.000  0.545     0.00     0.00 -1 -2.79e-16      0.00 6.906e-01 2.878e-01 3.892e-03 1.050e-03 9.523e-03 -1.000 2.165e-02 21.567 32.274 28.798 25.728 21.382 19.920 19.287 20.393 19.477 19.614 19.315 21.940 21.040 19.602 19.069 18.783 18.374 18.300 18.272 18.225 17.657 
 1   9.290  0.20  0.32523  9.400  0.162 0.00   0.325 -2.034  3.4941  4.912    0  0.000  0.545     0.00     0.00 -1 -7.14e-16      0.00 6.878e-01 2.894e-01 4.096e-03 1.105e-03 1.002e-02 -1.000 2.278e-02 19.254 29.371 25.450 22.737 18.919 17.664 17.024 18.089 17.268 17.290 17.044 19.289 18.660 17.375 16.841 16.575 16.224 16.141 16.108 16.078 15.522 
 1   9.290  0.24  0.42637 11.200  0.179 0.97   0.425 -1.748  3.5141  4.824    0  0.000  0.545     0.00     0.00 -1 -1.33e-15      0.00 6.818e-01 2.931e-01 4.504e-03 1.215e-03 1.102e-02 -1.000 2.505e-02 19.631 29.359 25.380 22.803 19.233 18.071 17.423 18.475 17.696 17.671 17.439 19.529 19.007 17.797 17.254 17.000 16.687 16.607 16.574 16.552 16.002 
 1   9.310  0.00  0.11888  8.500  0.161 0.77   0.119 -2.989  3.4222  5.142    1  0.000  0.545     0.00     0.00 -1 -1.01e-16      0.00 7.100e-01 2.751e-01 2.670e-03 7.204e-04 6.534e-03 -1.000 1.485e-02 20.382 31.463 29.458 25.528 20.444 18.679 18.036 19.236 18.163 18.496 18.076 21.333 19.966 18.315 17.765 17.474 16.997 16.955 16.936 16.855 16.264 
 1   9.330  0.04  0.12170  9.450  0.199 0.76   0.122 -2.970  3.4213  5.130    1  0.000  0.545     0.00     0.00 -1 -1.05e-16      0.00 7.057e-01 2.780e-01 2.926e-03 7.894e-04 7.160e-03 -1.000 1.627e-02 21.285 32.398 30.396 26.461 21.361 19.587 18.943 20.146 19.068 19.406 18.983 22.254 20.881 19.221 18.670 18.377 17.899 17.856 17.838 17.756 17.163 
 1   9.310  0.17  0.19802  9.900  0.177 0.00   0.197 -2.488  3.4609  5.017    1  0.000  0.545     0.00     0.00 -1 -2.85e-16      0.00 6.905e-01 2.878e-01 3.892e-03 1.050e-03 9.523e-03 -1.000 2.165e-02 20.890 31.580 28.084 25.028 20.699 19.244 18.611 19.716 18.803 18.936 18.639 21.251 20.360 18.927 18.395 18.109 17.701 17.627 17.598 17.552 16.985 
 1   9.330  0.22  0.24305  9.200  0.206 0.91   0.242 -2.313  3.4728  4.977    1  0.000  0.545     0.00     0.00 -1 -4.04e-16      0.00 6.839e-01 2.922e-01 4.300e-03 1.160e-03 1.052e-02 -1.000 2.392e-02 19.103 29.656 25.986 23.049 18.868 17.471 16.838 17.929 17.043 17.144 16.863 19.365 18.554 17.162 16.631 16.349 15.956 15.877 15.848 15.806 15.241 
 1   9.310  0.56  0.40639  8.550  0.178 0.00   0.406 -1.841  3.4954  4.821    0  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 6.177e-01 3.346e-01 8.581e-03 2.315e-03 2.100e-02 -1.000 4.772e-02 17.923 27.990 24.065 21.369 17.575 16.330 15.692 16.753 15.936 15.956 15.711 17.939 17.319 16.043 15.510 15.246 14.898 14.814 14.782 14.753 14.198 
 1   9.350 -0.08  0.25637 11.250  0.215 0.00   0.256 -2.191  3.5006  4.991    1  0.000  0.545     0.00     0.00 -1 -5.12e-16      0.00 7.154e-01 2.721e-01 2.241e-03 6.046e-04 5.484e-03 -1.000 1.246e-02 21.498 31.525 27.706 24.858 21.131 19.934 19.273 20.355 19.548 19.534 19.290 21.435 20.903 19.652 19.098 18.838 18.497 18.412 18.377 18.346 17.910 
 1   9.370 -0.06  0.73949  8.500  0.163 0.86   0.739 -0.675  3.6774  4.643    1  0.000  0.539     0.00     0.00 -1 -1.47e-14      0.00 7.243e-01 2.631e-01 2.249e-03 6.127e-04 5.564e-03 -1.000 1.264e-02 14.541 19.889 17.135 15.853 13.953 13.303 12.608 13.596 13.024 12.853 12.598 13.994 13.887 13.100 12.484 12.380 12.322 12.364 12.334 12.296 12.244 
 1   9.350  0.02  0.23391 10.000  0.202 0.00   0.233 -2.302  3.4857  5.001    0  0.000  0.545     0.00     0.00 -1 -4.11e-16      0.00 7.070e-01 2.774e-01 2.798e-03 7.549e-04 6.847e-03 -1.000 1.556e-02 20.525 30.839 27.053 24.163 20.217 18.929 18.281 19.366 18.523 18.560 18.301 20.609 19.949 18.634 18.092 17.822 17.454 17.372 17.338 17.303 16.796 
